0-509ms: stationary pos=(40,265)
577-1121ms: stationary pos=(40,360)
1393-1393ms: stationary pos=(37,393)
38651-40589ms: stationary pos=(1610,6)
40725-42866ms: stationary pos=(945,782)
42934-45790ms: stationary pos=(1610,6)
45994-48475ms: stationary pos=(1200,422)
48781-49053ms: stationary pos=(470,1116)
49325-49597ms: stationary pos=(986,448)
49869-50175ms: stationary pos=(609,564)
50447-50991ms: moved from (986,446) to (609,564)
61019-62447ms: stationary pos=(1610,6)
62957-65541ms: moved from (1413,107) to (1610,6)
65609-68532ms: stationary pos=(1737,182)
69926-70504ms: stationary pos=(1610,6)
70946-71456ms: stationary pos=(531,834)
71524-72917ms: stationary pos=(1610,6)
73053-74209ms: stationary pos=(1025,626)
74481-76249ms: stationary pos=(19,368)
77201-77813ms: stationary pos=(19,386)
